TSPAN6 avgexpression:10.996833
t1=0.025420  pval1=0.979735
t2=2.394686  pval2=0.017153
t3=1.732086  pval3=0.085509
TNMD avgexpression:1.625189
t1=1.118488  pval1=0.264167
t2=2.117948  pval2=0.034874
t3=0.632882  pval3=0.527866
DPM1 avgexpression:11.408516
t1=-0.789934  pval1=0.430130
t2=3.679321  pval2=0.000270
t3=3.974435  pval3=0.000114
SCYL3 avgexpression:9.879212
t1=0.139944  pval1=0.888789
t2=3.197963  pval2=0.001508
t3=2.099605  pval3=0.037598
C1orf112 avgexpression:9.023823
t1=-2.113590  pval1=0.035296
t2=0.119734  pval2=0.904762
t3=2.012953  pval3=0.046079
FGR avgexpression:9.032430
t1=1.991480  pval1=0.047247
t2=-0.792979  pval2=0.428320
t3=-2.380835  pval3=0.018650
CFH avgexpression:11.625072
t1=2.973404  pval1=0.003161
t2=2.775503  pval2=0.005804
t3=-0.588332  pval3=0.557278
FUCA2 avgexpression:11.833754
t1=-2.026808  pval1=0.043481
t2=-1.268516  pval2=0.205445
t3=1.027952  pval3=0.305784
GCLC avgexpression:11.440876
t1=-0.448938  pval1=0.653769
t2=5.004493  pval2=0.000001
t3=4.241144  pval3=0.000041
NFYA avgexpression:10.968444
t1=-1.740468  pval1=0.082703
t2=-0.505163  pval2=0.613758
t3=1.253281  pval3=0.212238
STPG1 avgexpression:9.046324
t1=-2.350282  pval1=0.019344
t2=-1.043329  pval2=0.297506
t3=1.276829  pval3=0.203823
NIPAL3 avgexpression:11.224625
t1=-0.667475  pval1=0.504932
t2=0.797683  pval2=0.425588
t3=1.239619  pval3=0.217235
LAS1L avgexpression:11.121252
t1=-1.889770  pval1=0.059660
t2=0.703470  pval2=0.482224
t3=2.170042  pval3=0.031728
ENPP4 avgexpression:10.588266
t1=2.132064  pval1=0.033735
t2=0.300494  pval2=0.763977
t3=-1.259661  pval3=0.209934
SEMA3F avgexpression:11.483296
t1=0.884383  pval1=0.377129
t2=3.575270  pval2=0.000398
t3=1.946121  pval3=0.053687
CFTR avgexpression:10.399710
t1=0.301092  pval1=0.763533
t2=4.701590  pval2=0.000004
t3=2.728163  pval3=0.007204
ANKIB1 avgexpression:12.098506
t1=-0.699820  pval1=0.484530
t2=1.828466  pval2=0.068319
t3=2.298194  pval3=0.023065
CYP51A1 avgexpression:7.775653
t1=-2.464553  pval1=0.014224
t2=-1.046990  pval2=0.295816
t3=1.392960  pval3=0.165888
KRIT1 avgexpression:8.779278
t1=-0.322186  pval1=0.747515
t2=2.823844  pval2=0.005013
t3=3.031266  pval3=0.002913
RAD52 avgexpression:9.099683
t1=-0.696959  pval1=0.486316
t2=1.081834  pval2=0.280060
t3=1.385656  pval3=0.168104
BAD avgexpression:9.395784
t1=0.393851  pval1=0.693944
t2=0.212764  pval2=0.831633
t3=-0.152941  pval3=0.878670
LAP3 avgexpression:12.735328
t1=1.013287  pval1=0.311661
t2=-5.107965  pval2=0.000001
t3=-5.645063  pval3=0.000000
CD99 avgexpression:13.035891
t1=1.991657  pval1=0.047228
t2=1.240585  pval2=0.215578
t3=-0.787905  pval3=0.432113
CD99 avgexpression:0.000000
t1=nan  pval1=nan
t2=nan  pval2=nan
t3=nan  pval3=nan
HS3ST1 avgexpression:10.451708
t1=-0.405805  pval1=0.685147
t2=-3.543528  pval2=0.000448
t3=-2.105028  pval3=0.037115
AOC1 avgexpression:12.390035
t1=0.881380  pval1=0.378750
t2=1.182387  pval2=0.237843
t3=0.069203  pval3=0.944929
WNT16 avgexpression:4.014641
t1=1.277234  pval1=0.202412
t2=0.280110  pval2=0.779557
t3=-0.690194  pval3=0.491240
HECW1 avgexpression:5.976584
t1=-0.654819  pval1=0.513038
t2=1.166442  pval2=0.244219
t3=1.347060  pval3=0.180185
MAD1L1 avgexpression:5.318162
t1=1.740844  pval1=0.082637
t2=2.510336  pval2=0.012506
t3=0.395662  pval3=0.692969
LASP1 avgexpression:14.273579
t1=-0.881997  pval1=0.378416
t2=1.119960  pval2=0.263488
t3=1.843532  pval3=0.067412
SNX11 avgexpression:10.240360
t1=-0.688253  pval1=0.491774
t2=1.231783  pval2=0.218845
t3=1.442875  pval3=0.151338
TMEM176A avgexpression:12.726880
t1=0.984442  pval1=0.325615
t2=5.207290  pval2=0.000000
t3=2.492108  pval3=0.013891
M6PR avgexpression:11.570464
t1=-1.533712  pval1=0.126053
t2=-2.627647  pval2=0.008971
t3=-0.557840  pval3=0.577864
KLHL13 avgexpression:7.669075
t1=1.650811  pval1=0.099723
t2=2.988485  pval2=0.002999
t3=0.726200  pval3=0.468955
CYP26B1 avgexpression:7.599664
t1=-0.111614  pval1=0.911197
t2=0.159440  pval2=0.873413
