USP17L20    TAF11L9    1.0
MPO    ELANE    0.9999945681257956
MPO    AZU1    0.99999162761445
CLPS    PNLIPRP1    0.9999825514179642
CLPS    SYCN    0.9999647513396728
MPO    MS4A3    0.9999543239210594
MS4A3    AZU1    0.9999523871421642
CTRB2    DLK1    0.9999464783765222
CSH1    CSH2    0.9998730883117034
SPX    DLK1    0.9998295618870274
SPX    CTRB1    0.999777781571936
CPA1    CLPS    0.9997703839021176
CPA2    SYCN    0.9997182255245338
DEFA4    ELANE    0.9997067472567732
CLPS    PLA2G1B    0.999685569739136
PLA2G1B    PNLIPRP1    0.9996854737209174
CPA2    PLA2G1B    0.999666892194299
PLA2G1B    DLK1    0.9996432429574718
REG3G    PNLIPRP1    0.9996337856773896
CPA1    DLK1    0.9996294849304226
CPA2    CTRB1    0.9996137556862924
MPO    RNASE3    0.9992544462910998
RNASE3    ELANE    0.9992539465119764
AQP8    PNLIPRP1    0.999129643644578
AQP8    SYCN    0.9990740766680798
RNASE3    PRTN3    0.9990674241164104
AQP8    CTRB2    0.9990420226630417
AQP8    CTRB1    0.9990299642666572
BPI    DEFA4    0.99871356129935
BPI    MS4A3    0.9987074713193804
MPO    BPI    0.9986171026596348
GRIK1    DLK1    0.9984913671921538
ERP27    PNLIPRP1    0.998479498137722
ALB    CCL16    0.9984768658711528
CLPS    ERP27    0.9984689773955164
CEL    SYCN    0.998435349664935
SPX    ERP27    0.9983536314010066
SPX    CEL    0.9982872639302088
CSH1    KRTDAP    0.9982695034528014
RBPJL    ERP27    0.9982597297050092
REG3G    CEL    0.9981956415368918
CPA1    GRIK1    0.998182836618478
TSPY4    TSPY9P    0.9981529473720464
ERP27    PLA2G1B    0.9981137730838108
KRTDAP    CSH2    0.9981021746634604
CTRB2    AQP12A    0.9980764750937144
SYCN    AQP12A    0.9980601214356872
RBPJL    CEL    0.9980099010167762
SCG5    CTRB2    0.9979921586813818
SCG5    PNLIPRP1    0.997987329424597
SCG5    CTRB1    0.9979824220111062
AQP8    GRIK1    0.9977860922059988
REG3G    AQP12A    0.9977640072359591
CPA2    SCG5    0.9977539317246448
TTC29    CDC20B    0.9976946308270996
AQP8    CEL    0.9976347270918222
AFP    CCL16    0.9974791985498148
CTRB1    PRSS1    0.9972024996323532
CSH1    SPRR2G    0.9969091676106252
CEL    AQP12A    0.9967732526649709
SPX    SLC16A12    0.9967576967005456
SLC16A12    PNLIPRP1    0.9966091211067956
SLC16A12    SYCN    0.9965734966293852
CPA1    SLC16A12    0.9962330162101958
CTRB2    PNLIP    0.9962169483005604
APOA2    CCL16    0.9961039092759784
CFHR2    ALB    0.9960131322678332
AFM    CFHR2    0.9959967006612046
AQP12A    PRSS1    0.9959849678630098
PNLIP    SYCN    0.995971838370968
CELA2A    CELA3A    0.9954129330542804
NPBWR2    LCN1    0.9953355944057436
FCRLB    SERPINA9    0.9952312854666244
AHSG    CCL16    0.9951375477568432
CSH2    PSG1    0.994693664786842
CEL    PNLIP    0.9943830402887248
CELA2A    PNLIP    0.9938665147158248
KRTDAP    PSG1    0.9937708732805416
NPBWR2    SERPINA9    0.9936376418313162
MYH8    SERPINA9    0.9934432763681276
TGM1    RHCG    0.9933685219364656
CELA3A    PLA2G1B    0.9929609538879292
CELA2A    CTRB1    0.9927572986484068
CLPS    CELA2A    0.99257994841507
CNFN    SPRR1A    0.9924362028287794
CELA2A    CTRB2    0.9924036170697644
MYH8    FCRLB    0.9917474507643296
MEP1B    MS4A10    0.991694644651559
CELA3A    GRIK1    0.9914772534497076
CELA3A    SCG5    0.9911091717242584
CELA3A    PRSS1    0.9911064553685512
AFM    CPN2    0.990982719357904
KRTDAP    LCE3C    0.9908377013817566
NLRP10    PSG5    0.9907156889378214
ALB    CPN2    0.990709354553538
AHSG    ALB    0.9906398783250068
LMX1A    LRRTM3    0.9906332297445942
ERP27    CELA2A    0.9904727681314558
RNASE3    SERPINB10    0.9904451596682116
ALB    CFHR1    0.9904165914664168
TPH1    LRRTM3    0.990170902271016
VCY1B    VCY    0.9901589174980664
CELA2A    SCG5    0.9898277803475602
PPP1R17    NMS    0.9895574040513416
SPRR2G    LCE3C    0.9895119374501202
NPAP1    PNMA6E    0.9894996801417686
PRB4    PRB1    0.9891581781195878
DLX2    DLX1    0.989061883463566
LCE2A    LCE2D    0.9888856626816304
LCE2A    PSG1    0.9886986608868652
IL36RN    SPRR2E    0.9885521722003504
CELA2A    SLC16A12    0.988534255958652
SPRR2B    CSH2    0.9884367343820464
PPP1R17    AADACL2    0.9883868189155957
SERPINC1    APOA2    0.9883192516861024
CPA1    AQP12B    0.988176259545844
KRTAP4-8    KRTAP1-5    0.9880098794752196
KRTAP1-4    KRTAP1-5    0.9877426119919758
KRTAP9-7    KRTAP1-4    0.9874324318537496
HBG2    CSHL1    0.9873298868149004
CEL    AQP12B    0.9868902434493524
FLG2    KRTDAP    0.986887506983184
